instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
1,4,10,BruteForce,U,3.388524055480957e-05,{}
2,4,10,BruteForce,S,2.9340852051973343e-05,"{1: False, 2: True, 3: True, 4: True}"
3,4,10,BruteForce,U,5.0090253353118896e-05,{}
4,4,10,BruteForce,S,6.408896297216415e-06,"{1: True, 2: False, 3: False, 4: False}"
5,4,10,BruteForce,S,2.1520070731639862e-05,"{1: False, 2: False, 3: True, 4: True}"
6,4,10,BruteForce,S,2.3860950022935867e-05,"{1: True, 2: True, 3: False, 4: True}"
7,4,10,BruteForce,S,3.6391429603099823e-06,"{1: False, 2: False, 3: False, 4: False}"
8,4,10,BruteForce,U,2.6149675250053406e-05,{}
9,4,10,BruteForce,U,2.699112519621849e-05,{}
10,4,10,BruteForce,U,2.578599378466606e-05,{}
11,8,16,BruteForce,U,0.0006728270091116428,{}
12,8,16,BruteForce,U,0.0005432367324829102,{}
13,8,16,BruteForce,S,0.00015807664021849632,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: True, 8: False}"
14,8,16,BruteForce,S,0.0004519880749285221,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True}"
15,8,16,BruteForce,U,0.0005216258578002453,{}
16,8,16,BruteForce,U,0.0004591038450598717,{}
17,8,16,BruteForce,S,0.00011433009058237076,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: True, 8: False}"
18,8,16,BruteForce,U,0.00046156998723745346,{}
19,8,16,BruteForce,S,0.0001823706552386284,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: True, 8: False}"
20,8,16,BruteForce,S,0.00043462123721838,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True}"
21,12,24,BruteForce,S,0.002705570310354233,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: False}"
22,12,24,BruteForce,S,0.0022455542348325253,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
23,12,24,BruteForce,U,0.010206243023276329,{}
24,12,24,BruteForce,U,0.010067744180560112,{}
25,12,24,BruteForce,S,0.0005179047584533691,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False}"
26,12,24,BruteForce,U,0.010621300898492336,{}
27,12,24,BruteForce,U,0.010702735278755426,{}
28,12,24,BruteForce,S,0.012581275310367346,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: True, 12: True}"
29,12,24,BruteForce,U,0.013491967227309942,{}
30,12,24,BruteForce,S,0.006719604134559631,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False}"
31,16,32,BruteForce,S,0.025959499645978212,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False, 9: True, 10: False, 11: False, 12: True, 13: True, 14: False, 15: False, 16: False}"
32,16,32,BruteForce,U,0.20875901635736227,{}
33,16,32,BruteForce,S,0.19867181591689587,"{1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False, 13: True, 14: True, 15: True, 16: True}"
34,16,32,BruteForce,S,0.17767329327762127,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: True}"
35,16,32,BruteForce,U,0.1945324749685824,{}
36,16,32,BruteForce,S,0.19054112490266562,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
37,16,32,BruteForce,U,0.19843452982604504,{}
38,16,32,BruteForce,U,0.21622763900086284,{}
39,16,32,BruteForce,S,0.06066067470237613,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False}"
40,16,32,BruteForce,U,0.20841754507273436,{}
41,18,36,BruteForce,U,0.8999249008484185,{}
42,18,36,BruteForce,U,0.9329385124146938,{}
43,18,36,BruteForce,U,0.8878694800660014,{}
44,18,36,BruteForce,U,0.8773237178102136,{}
45,18,36,BruteForce,U,0.8805690328590572,{}
46,18,36,BruteForce,U,0.9124508649110794,{}
47,18,36,BruteForce,U,0.8997639971785247,{}
48,18,36,BruteForce,S,0.07352481177076697,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False}"
49,18,36,BruteForce,U,0.8999774260446429,{}
50,18,36,BruteForce,S,0.0041414410807192326,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
51,20,40,BruteForce,U,3.897940021008253,{}
52,20,40,BruteForce,U,3.800170509144664,{}
53,20,40,BruteForce,S,2.3541560638695955,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: True, 18: False, 19: False, 20: True}"
54,20,40,BruteForce,U,3.9435299881733954,{}
55,20,40,BruteForce,U,3.9300601789727807,{}
56,20,40,BruteForce,U,3.9692935128696263,{}
57,20,40,BruteForce,U,3.9040778828784823,{}
58,20,40,BruteForce,S,1.6324759437702596,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: True, 17: False, 18: True, 19: True, 20: False}"
59,20,40,BruteForce,U,3.8862365540117025,{}
60,20,40,BruteForce,S,0.5173199381679296,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False}"
61,22,44,BruteForce,S,3.3338012769818306,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False, 17: False, 18: False, 19: True, 20: True, 21: False, 22: False}"
62,22,44,BruteForce,U,17.061489262152463,{}
63,22,44,BruteForce,U,17.19714115606621,{}
64,22,44,BruteForce,U,16.764702745713294,{}
65,22,44,BruteForce,U,17.62248376198113,{}
66,22,44,BruteForce,U,17.40294694295153,{}
67,22,44,BruteForce,U,17.88997830171138,{}
68,22,44,BruteForce,U,17.421717769932002,{}
69,22,44,BruteForce,U,17.37805397901684,{}
70,22,44,BruteForce,U,17.187519912142307,{}
71,24,48,BruteForce,S,1.894649296067655,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: True, 17: False, 18: True, 19: True, 20: False, 21: False, 22: False, 23: False, 24: False}"
72,24,48,BruteForce,U,75.9611264783889,{}
73,24,48,BruteForce,U,74.84333025384694,{}
74,24,48,BruteForce,S,61.70403991173953,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: False, 17: False, 18: False, 19: True, 20: False, 21: True, 22: False, 23: True, 24: True}"
75,24,48,BruteForce,U,77.64202962489799,{}
76,24,48,BruteForce,U,74.12714168708771,{}
77,24,48,BruteForce,U,74.92743758810684,{}
78,24,48,BruteForce,U,74.47596716694534,{}
79,24,48,BruteForce,U,75.44043225888163,{}
80,24,48,BruteForce,S,39.2670763428323,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False, 13: False, 14: True, 15: True, 16: False, 17: False, 18: True, 19: False, 20: False, 21: False, 22: False, 23: False, 24: True}"
81,4,20,BruteForce,U,3.4254975616931915e-05,{}
82,4,20,BruteForce,S,1.1046882718801498e-05,"{1: True, 2: False, 3: False, 4: False}"
83,4,20,BruteForce,S,1.811794936656952e-05,"{1: False, 2: True, 3: True, 4: False}"
84,4,20,BruteForce,S,2.598017454147339e-05,"{1: True, 2: True, 3: True, 4: False}"
85,4,20,BruteForce,U,4.294980317354202e-05,{}
86,4,20,BruteForce,S,2.7581118047237396e-05,"{1: True, 2: True, 3: False, 4: True}"
87,4,20,BruteForce,U,3.3561140298843384e-05,{}
88,4,20,BruteForce,U,3.281887620687485e-05,{}
89,4,20,BruteForce,U,3.7665944546461105e-05,{}
90,4,20,BruteForce,S,1.4520715922117233e-05,"{1: True, 2: False, 3: True, 4: False}"
91,8,40,BruteForce,S,0.0003734189085662365,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True}"
92,8,40,BruteForce,S,3.410317003726959e-05,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False}"
93,8,40,BruteForce,S,0.00034425826743245125,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False}"
94,8,40,BruteForce,U,0.0009447792544960976,{}
95,8,40,BruteForce,U,0.0006257179193198681,{}
96,8,40,BruteForce,U,0.0006612669676542282,{}
97,8,40,BruteForce,U,0.0006841281428933144,{}
98,8,40,BruteForce,U,0.0006995578296482563,{}
99,8,40,BruteForce,U,0.0005785748362541199,{}
100,8,40,BruteForce,U,0.0006840801797807217,{}
101,12,60,BruteForce,U,0.014095637947320938,{}
102,12,60,BruteForce,S,0.00030405493453145027,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
103,12,60,BruteForce,U,0.013891620095819235,{}
104,12,60,BruteForce,S,2.0892824977636337e-05,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
105,12,60,BruteForce,U,0.013355734758079052,{}
106,12,60,BruteForce,U,0.014032145030796528,{}
107,12,60,BruteForce,U,0.01382885267958045,{}
108,12,60,BruteForce,U,0.01478929165750742,{}
109,12,60,BruteForce,S,0.0001639779657125473,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
110,12,60,BruteForce,U,0.014158572070300579,{}
111,16,80,BruteForce,U,0.27773190289735794,{}
112,16,80,BruteForce,S,0.21945267682895064,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
113,16,80,BruteForce,U,0.2634838600642979,{}
114,16,80,BruteForce,U,0.26311243884265423,{}
115,16,80,BruteForce,U,0.2534768986515701,{}
116,16,80,BruteForce,U,0.26684278389438987,{}
117,16,80,BruteForce,U,0.2725684051401913,{}
118,16,80,BruteForce,U,0.2554967221803963,{}
119,16,80,BruteForce,U,0.26279337611049414,{}
120,16,80,BruteForce,S,0.2251406698487699,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: True}"
121,18,90,BruteForce,U,1.1341924602165818,{}
122,18,90,BruteForce,U,1.1221307329833508,{}
123,18,90,BruteForce,U,1.1970552848652005,{}
124,18,90,BruteForce,U,1.1230454668402672,{}
125,18,90,BruteForce,U,1.1255032401531935,{}
126,18,90,BruteForce,S,0.3165677790530026,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: True, 14: False, 15: False, 16: False, 17: True, 18: False}"
127,18,90,BruteForce,S,0.011553507298231125,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: False, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
128,18,90,BruteForce,S,1.052077307831496,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: True, 14: True, 15: False, 16: True, 17: True, 18: True}"
129,18,90,BruteForce,U,1.0818095547147095,{}
130,18,90,BruteForce,S,0.3470197357237339,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: False, 13: False, 14: False, 15: True, 16: False, 17: True, 18: False}"
131,20,100,BruteForce,S,3.678896636236459,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: True, 17: True, 18: True, 19: False, 20: True}"
132,20,100,BruteForce,U,4.564671903848648,{}
133,20,100,BruteForce,S,0.1665847096592188,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False}"
134,20,100,BruteForce,U,4.843649615067989,{}
135,20,100,BruteForce,S,3.3106951862573624,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: True, 18: True, 19: False, 20: True}"
136,20,100,BruteForce,U,4.640597994904965,{}
137,20,100,BruteForce,U,4.888892874121666,{}
138,20,100,BruteForce,S,4.398310997989029,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: True}"
139,20,100,BruteForce,U,4.698360004927963,{}
140,20,100,BruteForce,U,4.8804980418644845,{}
141,22,110,BruteForce,S,10.470380926970392,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False, 21: False, 22: True}"
142,22,110,BruteForce,S,16.645336505956948,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: True, 11: True, 12: False, 13: False, 14: True, 15: False, 16: False, 17: False, 18: False, 19: True, 20: False, 21: True, 22: True}"
143,22,110,BruteForce,U,21.504419681150466,{}
144,22,110,BruteForce,U,20.734314526896924,{}
145,22,110,BruteForce,U,20.442057389300317,{}
146,22,110,BruteForce,U,20.78297538124025,{}
147,22,110,BruteForce,U,22.478107491042465,{}
148,22,110,BruteForce,U,21.46908148797229,{}
149,22,110,BruteForce,S,1.2278679530136287,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: True, 15: False, 16: True, 17: True, 18: True, 19: False, 20: False, 21: False, 22: False}"
150,22,110,BruteForce,S,0.8408759143203497,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: True, 14: True, 15: False, 16: True, 17: False, 18: True, 19: False, 20: False, 21: False, 22: False}"
151,24,120,BruteForce,U,90.32478244882077,{}
152,24,120,BruteForce,U,85.20892652496696,{}
153,24,120,BruteForce,U,88.90209831018001,{}
154,24,120,BruteForce,U,88.1926979967393,{}
155,24,120,BruteForce,U,92.91036705020815,{}
156,24,120,BruteForce,U,85.13108806498349,{}
157,24,120,BruteForce,U,88.1235127155669,{}
158,24,120,BruteForce,U,92.60352795897052,{}
159,24,120,BruteForce,U,89.70714800292626,{}
160,24,120,BruteForce,U,86.99152370495722,{}
161,4,40,BruteForce,S,3.867596387863159e-05,"{1: True, 2: True, 3: True, 4: False}"
162,4,40,BruteForce,U,4.336424171924591e-05,{}
163,4,40,BruteForce,U,4.601897671818733e-05,{}
164,4,40,BruteForce,S,4.696659743785858e-05,"{1: False, 2: True, 3: False, 4: True}"
165,4,40,BruteForce,S,5.589332431554794e-05,"{1: True, 2: True, 3: False, 4: True}"
166,4,40,BruteForce,S,3.4782104194164276e-05,"{1: False, 2: False, 3: False, 4: True}"
167,4,40,BruteForce,S,3.089290112257004e-05,"{1: False, 2: False, 3: True, 4: False}"
168,4,40,BruteForce,S,1.7609912902116776e-05,"{1: True, 2: True, 3: False, 4: False}"
169,4,40,BruteForce,S,6.143283098936081e-05,"{1: True, 2: True, 3: True, 4: True}"
170,4,40,BruteForce,S,1.7249025404453278e-05,"{1: False, 2: True, 3: False, 4: False}"
171,8,80,BruteForce,S,0.00029878225177526474,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: True, 7: False, 8: False}"
172,8,80,BruteForce,S,6.683822721242905e-05,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False}"
173,8,80,BruteForce,S,0.0001622992567718029,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False}"
174,8,80,BruteForce,S,0.00017549516633152962,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: False, 8: False}"
175,8,80,BruteForce,S,2.7711037546396255e-05,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False}"
176,8,80,BruteForce,U,0.0011813458986580372,{}
177,8,80,BruteForce,U,0.0009569101966917515,{}
178,8,80,BruteForce,S,0.0010371380485594273,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True}"
179,8,80,BruteForce,U,0.0010496638715267181,{}
180,8,80,BruteForce,U,0.001175296027213335,{}
181,12,120,BruteForce,S,0.010380655992776155,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True}"
182,12,120,BruteForce,S,0.015285567846149206,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: True, 11: False, 12: True}"
183,12,120,BruteForce,S,0.00023641902953386307,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
184,12,120,BruteForce,U,0.021972083020955324,{}
185,12,120,BruteForce,S,0.012616052757948637,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: True, 11: False, 12: True}"
186,12,120,BruteForce,S,0.00383944995701313,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: False, 12: False}"
187,12,120,BruteForce,U,0.016910577192902565,{}
188,12,120,BruteForce,U,0.02239815704524517,{}
189,12,120,BruteForce,U,0.019628485199064016,{}
190,12,120,BruteForce,U,0.018411701079458,{}
191,16,160,BruteForce,S,0.1736663687042892,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: False, 12: False, 13: False, 14: True, 15: True, 16: False}"
192,16,160,BruteForce,U,0.35665165493264794,{}
193,16,160,BruteForce,U,0.4011757681146264,{}
194,16,160,BruteForce,S,0.09086692612618208,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: False, 12: True, 13: True, 14: True, 15: False, 16: False}"
195,16,160,BruteForce,S,0.09867966175079346,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: True, 13: False, 14: False, 15: True, 16: False}"
196,16,160,BruteForce,U,0.36555732786655426,{}
197,16,160,BruteForce,U,0.37576046120375395,{}
198,16,160,BruteForce,U,0.34627055702731013,{}
199,16,160,BruteForce,S,0.13021434843540192,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False, 13: True, 14: False, 15: True, 16: False}"
200,16,160,BruteForce,S,0.001261071301996708,"{1: False, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False}"
201,18,180,BruteForce,S,0.10604148590937257,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: False, 8: False, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: True, 16: False, 17: False, 18: False}"
202,18,180,BruteForce,U,1.7334382780827582,{}
